coaster_name,Length,Speed,Status,Manufacturer,Model,Height,Lift/launch system,G-force,Designer,Track layout,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean
Wicked (roller coaster),"2,050.5 ft (625.0 m)",55 mph (89 km/h),Operating,Zierer,Tower Launch Coaster,110 ft (34 m),launch,4.8,Werner Stengel,,Steel,2007-06-01,55.0,,1
American Thunder (roller coaster),"2,713 ft (827 m)",48 mph (77 km/h),Operating,Great Coasters International,,82 ft (25 m),lift,,,,Wood,2008-06-20,48.0,,0
Behemoth (roller coaster),"1,620.9 m (5,318 ft)",124 km/h (77 mph),Operating,Bolliger & Mabillard,Hypercoaster,70 m (230 ft),lift,4.5,,,Steel,2008-05-04,77.1,229.7,0
Cobra (Tivoli Friheden),"1,312 ft (400 m)",43.5 mph (70.0 km/h),Operating,Sartori Rides,compact Inverted Coaster,82 ft (25 m),lift,4.5,Ride Tek,,Steel,2008-06-28,43.5,,3
Dive Coaster (Chimelong Paradise),,68.4 mph (110.1 km/h),Operating,Bolliger & Mabillard,Floorless Dive Coaster,197 ft (60 m),lift,4.4,,,Steel,2008-02-07,68.4,,1
Fahrenheit (roller coaster),"2,700 ft (820 m)",58 mph (93 km/h),Operating,Intamin,,121 ft (37 m),lift,,,,Steel,2008-05-24,58.0,,6
Flight Deck (Kings Island),"2,352 ft (717 m)",51 mph (82 km/h),Operating,Arrow Dynamics,Suspended Coaster,78 ft (24 m),lift,2.9,,Terrain,Steel,1993-04-09,51.0,,0
Jet Rescue,"560 m (1,840 ft)",70 km/h (43 mph),Operating,Intamin,,6 m (20 ft),launch,2.5,Sea World,,Steel,2008-12-26,43.5,19.7,0
Mammut (roller coaster),"3,379.3 ft (1,030.0 m)",31.1 mph (50.1 km/h),Operating,Vekoma,Custom MK-900 M,45.11 ft (13.75 m),lift,,,,Steel,2008-03-19,31.1,,0
Moto Coaster (Six Flags Darien Lake),"1,198 ft (365 m)",38 mph (61 km/h),Operating,Zamperla,Motocoaster,44 ft (13 m),launch,,Werner Stengel,Stacked Figure-8,Steel,2008-05-01,38.0,,0
Roller Coaster (Dai Nam Van Hien),"680 m (2,230 ft)",75 km/h (47 mph),Operating,Hebei Zhongye Metallurgical Equipment,,33.6 m (110 ft),lift,4.0,,,Steel,2008-09-11,46.6,110.2,4
SpongeBob SquarePants Rock Bottom Plunge,"1,371.4 ft (418.0 m)",43.5 mph (70.0 km/h),Operating,Gerstlauer,Euro-Fighter (Custom),74.5 ft (22.7 m),lift,4.4,Werner Stengel,Compact,Steel,2008-03-15,43.5,,2
Steel Hawg,,41 mph (66 km/h),Operating,S&S – Sansei Technologies,El Loco,96 ft (29 m),lift,,Alan Schilke,,Steel,2008-07-05,41.0,,2
T Express,"1,641 m (5,384 ft)",103.9 km/h (64.6 mph),Operating,Intamin,Wooden Coaster (Prefabricated Track),56.02 m (183.8 ft),lift,,Werner Stengel,Terrain / Twister,Wood,2008-03-14,64.6,183.8,0
Afterburn (roller coaster),"2,956 ft (901 m)",62 mph (100 km/h),Operating,Bolliger & Mabillard,Inverted Coaster – Custom,113 ft (34 m),lift,,Ing.-Büro Stengel GmbH,,Steel,1999-03-20,62.0,,6
Apocalypse: The Ride,"2,877 ft (877 m)",50.1 mph (80.6 km/h),Operating,Great Coasters International,,95 ft (29 m),lift,,Jeff Pike,,Wood,2009-05-23,50.1,,0
Blue Fire,"3,464.6 ft (1,056.0 m)",62 mph (100 km/h),Operating,Mack Rides,Launched full-circuit dark ride / roller coaster,124 ft (38 m),launch,3.8,,,Steel,2009-04-04,62.0,,4
Diamondback (Kings Island),"5,282 ft (1,610 m)",80 mph (130 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,230 ft (70 m),lift,4.2,,Out and back,Other,2009-04-18,80.0,,0
Diving Coaster,"972 m (3,189 ft)",110 km/h (68 mph),Operating,Bolliger & Mabillard,Dive Coaster,65 m (213 ft),lift,4,,Twister,Steel,2009-08-16,68.4,213.3,1
Hollywood Rip Ride Rockit,"3,800 ft (1,200 m)",65 mph (105 km/h),Operating,Maurer AG,X-Car / Music,167 ft (51 m),lift,4.18[4],Universal Creative,,Steel,2009-08-19,65.0,,0
ISpeed,,74.6 mph (120.1 km/h),Operating,Intamin,Blitz Coaster,180 ft (55 m),launch,,Werner Stengel,Twister,Steel,2009-05-20,74.6,,2
Manta (SeaWorld Orlando),"3,359 ft (1,024 m)",56 mph (90 km/h),Operating,Bolliger & Mabillard,Flying Coaster – Manta,140 ft (43 m),lift,3.7 [2],,,Steel,2009-05-22,56.0,,4
Mumbo Jumbo (roller coaster),,41 mph (66 km/h),Operating,S&S – Sansei Technologies,El Loco,98 ft (30 m),lift,3,,,Steel,2009-07-04,41.0,,2
Prowler (roller coaster),"3,074 ft (937 m)",51.2 mph (82.4 km/h),Operating,Great Coasters International,Custom,102.3 ft (31.2 m),lift,,,Terrain Wood Twister Out and Back,Wood,2009-05-02,51.2,,0
Saw – The Ride,"2,362 ft (720 m)",55 mph (89 km/h),Operating,Gerstlauer,Eurofighter,100 ft (30 m),lift,,,Custom,Steel,2009-03-14,55.0,,3
Superman The Ride,"5,400 ft (1,600 m)",77 mph (124 km/h),Operating,Intamin,Mega Coaster,208 ft (63 m),lift,3.6,Werner Stengel,Out and BackTwister,Steel,2000-05-05,77.0,,0
Tranan,"1,640.4 ft (500.0 m)",24.9 mph (40.1 km/h),Operating,S&S – Sansei Technologies,Free Fly,65.6 ft (20.0 m),lift,2.5,,,Steel,2009-05-29,24.9,,0
Wooden Coaster - Fireball,"3,819 ft (1,164 m)",56 mph (90 km/h),Operating,Martin & Vleminckx,,108 ft (33 m),lift,,The Gravity Group,,Wood,2009-08-16,56.0,,0
Battlestar Galactica (roller coaster),,51.0 mph (82.1 km/h),Operating,Vekoma,Custom,140 ft (42.7 m),launch,,,,Steel,2010-03-18,51.0,,5
Formula Rossa,"2,000 m (6,562 ft)",240 km/h (149.1 mph),Operating,Intamin,Accelerator Coaster,52 m (170.6 ft),launch,4.8[2],,,Steel,2010-11-04,149.1,170.6,0
Intimidator (roller coaster),"5,316 ft (1,620 m)",75 mph (121 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,232 ft (71 m),lift,4.3,,Out and back,Steel,2010-03-27,75.0,,0
Intimidator 305,"5,100 ft (1,554 m)",90 mph (145 km/h),Operating,Intamin,Giga Coaster,305 ft (93 m),lift,,,,Steel,2010-04-02,90.0,,0
Sky Rocket,"2,100 ft (640 m)",50 mph (80 km/h),Operating,Premier Rides,,95 ft (29 m),launch,0.8,,,Steel,2010-06-29,50.0,,3
Space Fantasy – The Ride,"585 m (1,919 ft)",,Operating,Mack Rides,Custom,7 m (23 ft),lift,,Universal Creative,,Steel,2010-03-18,,23.0,0
Thirteen (roller coaster),"2,480 ft (760 m)",42 mph (68 km/h),Operating,Intamin,Multi Dimension Coaster,65.6 ft (20.0 m),lift,3.2,,,Steel,2010-03-20,42.0,,0
Woodstock Express (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Operating,Philadelphia Toboggan Coasters,144a,40 ft (12 m),lift,,John C. Allen,,Wood,1975-01-01,36.0,,0
Woodstock Express (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Operating,Philadelphia Toboggan Coasters,,38.6 ft (11.8 m),lift,,John C. Allen,Figure Eight,Wood,1972-01-01,35.0,,0
Accelerator (roller coaster),180 m (590 ft),60 km/h (37 mph),Operating,Vekoma,Family Boomerang,20 m (66 ft),lift,3,Meticulous ltd,,Steel,2011-04-21,37.3,65.6,0
Cheetah Hunt,"4,429 ft (1,350 m)",60 mph (97 km/h),Operating,Intamin,,102 ft (31 m),launch,4,,,Steel,2011-05-27,60.0,,1
Dare Devil Dive,"2,099 ft (640 m)",52 mph (84 km/h),Operating,Gerstlauer,Euro-Fighter (Custom),95 ft (29 m),lift,,,,Steel,2011-05-28,52.0,,3
Green Lantern Coaster,"488 m (1,601 ft)",66 km/h (41 mph),Operating,S&S – Sansei Technologies,El Loco,33 m (108 ft),lift,3.5,,,Steel,2011-12-23,41.0,108.3,2
Hair Raiser,"2,788.8 ft (850.0 m)",88 km/h (55 mph),Operating,Bolliger & Mabillard,Floorless Coaster,114.8 ft (35.0 m),lift,4,,Twister,Steel,2011-12-08,54.7,,4
Krake,"476 m (1,562 ft)",103 km/h (64 mph),Operating,Bolliger & Mabillard,Dive Coaster,41 m (135 ft),lift,,,Out and back,Steel,2011-04-16,64.0,134.5,1
New Texas Giant,"4,200 ft (1,300 m)",65 mph (105 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,153 ft (47 m),lift,4.2,Alan Schilke,,Steel,2011-04-22,65.0,,0
Raptor (Gardaland),"2,526.3 ft (770.0 m)",90 km/h (56 mph),Operating,Bolliger & Mabillard,Wing Coaster,108.3 ft (33.0 m),lift,,,Twister,Steel,2011-04-01,55.9,,3
Sky Scrapper,"2,805.1 ft (855.0 m)",54.7 mph (88.0 km/h),Operating,Bolliger & Mabillard,Flying Coaster – Custom,131.3 ft (40.0 m),lift,3.3,,,Steel,2011-04-30,54.7,,5
Takabisha,"1,000 m (3,300 ft)",100 km/h (62 mph),Operating,Gerstlauer,1000,43 m (141 ft),launch,,,,Steel,2011-07-16,62.1,141.1,7
Van Helsing's Factory,"400 m (1,300 ft)",36 km/h (22 mph),Operating,Gerstlauer,Bobsled Coaster,8 m (26 ft),lift,4,,,Steel,2011-06-18,22.4,26.2,0
Wood Coaster (Mountain Flyer),"4,817 ft (1,468 m)",61.2 mph (98.5 km/h),Operating,Great Coasters International,,147 ft (45 m),lift,,,,Wood,2011-07-19,61.2,,0
Wooden Warrior,"1,200 ft (370 m)",35 mph (56 km/h),Operating,The Gravity Group,,35 ft (11 m),lift,,,,Wood,2011-04-23,35.0,,0
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Operating,Vekoma,Junior Coaster (Custom),9.1 m (30 ft),lift,,Walt Disney Imagineering,,Steel,1996-10-01,25.0,29.9,0
Dauling Dragon,"3,914 ft (1,193.0 m)",,Operating,Martin & Vleminckx,Racing roller coaster,105 ft (32.0 m),lift,,The Gravity Group,,Wood,2012-04-29,,,0
Iron Shark,"1,246 ft (380 m)",52 mph (84 km/h),Operating,Gerstlauer,Euro-Fighter (Iron Shark),100 ft (30 m),lift,,,,Steel,2012-06-01,52.0,,4
Leviathan (Canada's Wonderland),"1,672 m (5,486 ft)",148 km/h (92 mph),Operating,Bolliger & Mabillard,Hyper coaster,93.3 m (306 ft),lift,4.5,Werner Stengel[3],Out and Back,Steel,2012-05-06,92.0,306.1,0
Manta (SeaWorld San Diego),"2,835 ft (864 m)",43 mph (69 km/h),Operating,Mack Rides,,30 ft (9.1 m),launch,Between 3 and 4 Gs,,,Steel,2012-05-26,43.0,,0
OzIris,"3,280 ft (1,000 m)",56 mph (90 km/h),Operating,Bolliger & Mabillard,,131.2 ft (40.0 m),lift,,,,Steel,2012-04-07,56.0,,5
Polar X-plorer,,65 km/h (40 mph),Operating,Zierer,Elevated Seating Coaster,20 m (66 ft),lift,,,,Steel,2012-04-29,40.4,65.6,0
Shambhala (roller coaster),"1,564 m (5,131 ft)",134 km/h (83 mph),Operating,Bolliger & Mabillard,Hyper Coaster,76 m (249 ft),lift,3.8,,,Other,2012-05-12,83.3,249.3,0
Superman: Ultimate Flight (Six Flags Discovery Kingdom),863 ft (263 m),62 mph (100 km/h),Operating,Premier Rides,Sky Rocket II,150 ft (46 m),launch,,,,Steel,2012-06-30,62.0,,1
The Swarm (roller coaster),"775 m (2,543 ft)",59 mph (95 km/h),Operating,Bolliger & Mabillard,Custom,38.6 m (127 ft),lift,4.5,,,Steel,2012-03-15,59.0,126.6,5
The Walking Dead: The Ride,"1,312.3 ft (400.0 m)",27.7 mph (44.6 km/h),Operating,Vekoma,Enigma,41.7 ft (12.7 m),lift,2.4,Vekoma,Modified Enigma,Steel,1996-03-23,27.7,,0
Verbolten,"2,835 ft (864 m)",53 mph (85 km/h),Operating,Zierer,Family Launched Coaster Elevated Seating Coaster,,launch,,,Custom terrain design,Steel,2012-05-18,53.0,,0
Wild Eagle,"3,127 ft (953 m)",61 mph (98 km/h),Operating,Bolliger & Mabillard,Wing Coaster,210 ft (64 m),lift,,,,Steel,2012-03-24,61.0,,4
Wodan Timbur Coaster,"3,444 ft (1,050 m)",62.1 mph (99.9 km/h),Operating,Great Coasters International,,131 ft (40 m),lift,3.5 g,,,Wood,2012-03-31,62.1,,0
X-Flight (Six Flags Great America),"3,000 ft (910 m)",55 mph (89 km/h),Operating,Bolliger & Mabillard,Wing Coaster,120 ft (37 m),lift,,,Twister,Steel,2012-05-16,55.0,,5
Abyss (roller coaster),"630 m (2,070 ft)",85 km/h (53 mph),Operating,Gerstlauer,Euro-Fighter – Custom,30 m (98 ft),lift,4.5,,Custom,Steel,2013-11-01,52.8,98.4,3
Deep Space (roller coaster),"1,706 ft (520 m)",42.50 mph (68.40 km/h),Operating,Premier Rides,Sky Rocket - Indoor,57.41 ft (17.50 m),launch,,,,Steel,2013-01-01,42.5,,2
Full Throttle (roller coaster),"2,200 ft (670 m)",70 mph (110 km/h),Operating,Premier Rides,,160 ft (49 m),launch,4.0,,Terrain,Steel,2013-06-22,70.0,,2
GateKeeper (roller coaster),"4,164 ft (1,269 m)",67 mph (108 km/h),Operating,Bolliger & Mabillard,Wing Coaster,170 ft (52 m),lift,4[1],,Out and back,Steel,2013-05-11,67.0,,6
Gold Striker,"3,197 ft (974 m)",53.7 mph (86.4 km/h),Operating,Great Coasters International,,108.2 ft (33.0 m),lift,4.2,Jeff Pike,,Wood,2013-05-31,53.7,,0
Iron Rattler,"3,266 ft (995 m)",70 mph (110 km/h),Operating,Rocky Mountain Construction,I-Box,179 ft (55 m),lift,,Alan Schilke,Terrain,Steel,2013-05-25,70.0,,1
Karacho,"700 m (2,300 ft)",90 km/h (56 mph),Operating,Gerstlauer,Infinity Coaster,30 m (98 ft),launch,,Imaginvest,,Steel,2013-07-10,55.9,98.4,4
Nitro (Imagicaa),"2,800 ft (850 m)",65.2 mph (104.9 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,132 ft (40 m),lift,,,Twister,Steel,2013-10-01,65.2,,5
Outlaw Run,"2,937 ft (895 m)",68 mph (109 km/h),Operating,Rocky Mountain Construction,Topper Track – Custom,107 ft (33 m),lift,,Alan Schilke,Terrain,Wood,2013-03-15,68.0,,3
The Smiler,"3,838.6 ft (1,170.0 m)",52.8 mph (85.0 km/h),Operating,Gerstlauer,Infinity Coaster,,lift,4.8[1],,Infinity Coaster 1170,Steel,2013-05-31,52.8,,14
Smoky Mountain Alpine Coaster,,27 mph (43 km/h),Operating,Wiegand,Mountain coaster,"3,937 ft (1,200 m)",lift,,,,Steel,2013-08-03,27.0,,0
Storm Coaster,"470 m (1,540 ft)",70 km/h (43 mph),Operating,Mack Rides,Water Coaster,28 m (92 ft),lift,3 Gs[2],,Water Coaster,Steel,2013-12-06,43.5,91.9,0
White Lightning (roller coaster),"2,032 ft (619 m)",44.3 mph (71.3 km/h),Operating,Great Coasters International,Custom,69.7 ft (21.2 m),lift,,,Out and back,Wood,2013-06-07,44.3,,0
Alpina Blitz,"719 m (2,359 ft)",83 km/h (52 mph),Operating,Mack Rides,,33 m (108 ft),lift,4.3,,,Steel,2014-04-12,51.6,108.3,0
Banshee (roller coaster),"4,124 ft (1,257 m)",68 mph (109 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,167 ft (51 m),lift,,,Terrain,Steel,2014-04-18,68.0,,7
The Bat (Kings Island; opened 1993),"2,352 ft (717 m)",51 mph (82 km/h),Operating,Arrow Dynamics,Suspended Coaster,78 ft (24 m),lift,2.9,,Terrain,Steel,1993-04-09,51.0,,0
Family Inverted Coaster (Happy Valley Shanghai),"1,328.8 ft (405.0 m)",30.4 mph (48.9 km/h),Operating,Bolliger & Mabillard,Family Inverted Coaster,65.6 ft (20.0 m),lift,,,,Steel,2014-07-05,30.4,,0
FireChaser Express,"2,427 ft (740 m)",34.5 mph (55.5 km/h),Operating,Gerstlauer,Custom,78 ft (24 m),launch,,,,Steel,2014-03-22,34.5,,0
Flug der Dämonen,"772 m (2,533 ft)",100 km/h (62 mph),Operating,Bolliger & Mabillard,Wing Coaster,40 m (130 ft),lift,4,,,Steel,2014-03-29,62.1,131.2,5
Goliath (Six Flags Great America),"3,100 ft (940 m)",72 mph (116 km/h),Operating,Rocky Mountain Construction,Topper Track – Custom,165 ft (50 m),lift,,Alan Schilke,,Other,2014-06-19,72.0,,2
Harry Potter and the Escape from Gringotts,"600 m (2,000 ft)",,Operating,Intamin,,,launch,,Universal Creative,,Steel,2014-07-08,,,0
Medusa Steel Coaster,"3,000 ft (910 m)",58 mph (93 km/h),Operating,Rocky Mountain Construction,I-Box,118 ft (36 m),lift,,Alan Schilke,,Steel,2014-06-14,58.0,,3
Parrot Coaster,"1,278 m (4,193 ft)",67 mph (108 km/h),Operating,Bolliger & Mabillard,Wing Coaster,164.1 ft (50.0 m),lift,,,Twister,Steel,2014-01-25,67.0,,3
Roar-o-Saurus,"1,240 ft (380 m)",33 mph (53 km/h),Operating,The Gravity Group,,40 ft (12 m),lift,,,,Wood,2014-05-24,33.0,,0
Thunderbird (Holiday World),"3,035 ft (925 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Wing Coaster,140 ft (43 m),launch,,,,Steel,2015-04-25,60.0,,4
Thunderbolt (2014 roller coaster),"2,234 ft (681 m)",56 mph (90 km/h),Operating,Zamperla,,115 ft (35 m),lift,4.3,,,Steel,2014-06-14,56.0,,4
Wonder Mountain's Guardian,"304.8 m (1,000 ft)",,Operating,Art Engineering,4D Interactive Dark Ride,18.3 m (60 ft),lift,,Triotech,,Steel,2014-05-24,,60.0,0
Acrobat (roller coaster),"3,349.8 ft (1,021.0 m)",55.9 mph (90.0 km/h),Operating,Bolliger & Mabillard,Flying Coaster (Manta),141.1 ft (43.0 m),lift,,,,Steel,2015-07-18,55.9,,4
Baron 1898,"501 m (1,644 ft)",90 km/h (56 mph),Operating,Bolliger & Mabillard,Dive Coaster,30 m (98 ft),lift,,,,Steel,2015-07-01,55.9,98.4,2
Fury 325,"6,602 ft (2,012 m)",95 mph (153 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,325 ft (99 m),lift,,,,Steel,2015-03-28,95.0,,0
Impulse (roller coaster),"1,975 ft (602 m)",55 mph (89 km/h),Operating,Zierer,Tower Speed Coaster,98 ft (30 m),lift,,,,Steel,2015-04-25,55.0,,4
Junker (roller coaster),"2,821.5 ft (860.0 m)",64.9 mph (104.4 km/h),Operating,Gerstlauer,Infinity Coaster,131.3 ft (40.0 m),launch,4.5,,,Steel,2015-05-30,64.9,,3
Oblivion: The Black Hole,"1,856.9 ft (566.0 m)",62.2 mph (100.1 km/h),Operating,Bolliger & Mabillard,Dive Coaster,139.4 ft (42.5 m),lift,,,,Steel,2015-03-28,62.2,,2
Octonauts Rollercoaster Adventure,469.2 ft (143.0 m),,Operating,Zamperla,Junior Coaster,21.3 ft (6.5 m),lift,,,,Steel,2015-03-21,,,0
Puss in Boots' Giant Journey,"426 m (1,398 ft)",,Operating,Zamperla,Custom,17 m (56 ft),lift,,,,Steel,2015-04-08,,55.8,0
Rewind Racers,593.8 ft (181.0 m),31.1 mph (50.1 km/h),Operating,Gerstlauer,Family Coaster,39.3 ft (12.0 m),lift,,,,Steel,2015-06-06,31.1,,0
Rougarou (roller coaster),"3,900 ft (1,200 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,145 ft (44 m),lift,,Werner Stengel,,Steel,2015-05-09,60.0,,4
T3 (roller coaster),"2,171.9 ft (662.0 m)",49.7 mph (80.0 km/h),Operating,Vekoma,SLC (662m Prototype),101.7 ft (31.0 m),lift,,,,Steel,1995-04-08,49.7,,5
Tempesto,863 ft (263 m),62 mph (100 km/h),Operating,Premier Rides,Sky Rocket II,150 ft (46 m),launch,,,,Steel,2015-04-25,62.0,,1
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",90 km/h (56 mph),Operating,The Gravity Group,,32 m (105 ft),lift,,,,Wood,2015-06-06,55.9,105.0,0
The Oath of Kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),Operating,Gerstlauer,Hypercoaster,73 m (240 ft),lift,5,Werner Stengel,Terrain,Steel,2015-07-01,78.9,239.5,1
Turbulence (roller coaster),"1,253.3 ft (382.0 m)",40 mph (64 km/h),Operating,Mack Rides,Spinning Coaster,55 ft (17 m),lift,,,,Steel,2015-05-22,40.0,,0
Twisted Colossus,"4,990 ft (1,520 m)",57 mph (92 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,121 ft (37 m),lift,,Alan Schilke,Möbius Loop with one station,Steel,2015-05-23,57.0,,2
Wicked Cyclone,"3,320 ft (1,010 m)",55 mph (89 km/h),Operating,Rocky Mountain Construction,I-Box,109 ft (33 m),lift,,Alan Schilke,Twister,Steel,2015-05-24,55.0,,3
ZDT's Amusement Park,,65 km/h (40 mph),Operating,The Gravity Group,,65 ft (20 m),lift,,,,Wood,2015-10-17,40.4,,0
Cobra's Curse,"2,100 ft (640 m)",40 mph (64 km/h),Operating,Mack Rides,,70 ft (21 m),lift,,,,Steel,2016-06-17,40.0,,0
Flying Aces (roller coaster),"1,500 m (4,921 ft)",120 km/h (75 mph),Operating,Intamin,Wing Coaster (Intamin),63 m (207 ft),lift,5,,,Steel,2016-02-24,74.6,206.7,1
The Flying Dinosaur,"3,687.7 ft (1,124.0 m)",62 mph (100 km/h),Operating,Bolliger & Mabillard,Flying Coaster - Custom,151 ft (46 m),lift,,,,Steel,2016-03-18,62.0,,5
Formuła (Energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),Operating,Vekoma,Space Warp Launch Coaster,24.7 m (81 ft),launch,3.8,,,Steel,2016-06-25,49.2,81.0,3
The Joker (Six Flags Discovery Kingdom),"3,200 ft (980 m)",53 mph (85 km/h),Operating,Rocky Mountain Construction,I-Box,100 ft (30 m),lift,,Alan Schilke,I-Box,Other,2016-05-29,53.0,,3
Lost Gravity (roller coaster),"680 m (2,230 ft)",87 km/h (54 mph),Operating,Mack Rides,BigDipper,32 m (105 ft),lift,4.3,,,Steel,2016-03-24,54.1,105.0,2
The Monster (Adventureland),"762 m (2,500 ft)",105 km/h (65 mph),Operating,Gerstlauer,Infinity Coaster,40.6 m (133 ft),lift,,,Infinity Coaster - Custom,Steel,2016-06-04,65.2,133.2,5
Pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),Operating,Mack Rides,PowerSplash,45 m (148 ft),launch,,,,Steel,2016-06-04,62.8,147.6,0
Raik,689 ft (210 m),38.5 mph (62.0 km/h),Operating,Vekoma,Junior Boomerang,82 ft (25 m),lift,,,,Steel,2016-06-30,38.5,,0
Storm Chaser (roller coaster),"2,744 ft (836 m)",52 mph (84 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,100 ft (30 m),lift,3.8,Alan Schilke,,Steel,2016-04-30,52.0,,3
Taron (roller coaster),"1,320 m (4,330 ft)",117 km/h (73 mph),Operating,Intamin,LSM Blitz Coaster,30.0 m (98.4 ft),launch,,,,Steel,2016-06-30,72.7,98.4,0
Valravn (roller coaster),"3,415 ft (1,041 m)",75 mph (121 km/h),Operating,Bolliger & Mabillard,Dive Coaster,223 ft (68 m),lift,,,,Steel,2016-05-07,75.0,,3
Wildfire (Kolmården Wildlife Park),"1,265 m (4,150 ft)",115 km/h (71 mph),Operating,Rocky Mountain Construction,Topper Track - Custom,56 m (184 ft),lift,4 g,Alan Schilke,Terrain,Wood,2016-06-28,71.5,183.7,3
Dawson Duel (roller coaster),"1,607.6 ft (490.0 m)",24.9 mph (40.1 km/h),Operating,Wiegand,Sport Coaster,82 ft (25.0 m),lift,,,,Steel,2017-05-05,24.9,,0
Gold Rush (Slagharen),,59 mph (95 km/h),Operating,Gerstlauer,Infinity Coaster,108.3 ft (33.0 m),launch,,,,Steel,2017-04-13,59.0,,2
InvadR,"2,118 ft (646 m)",48 mph (77 km/h),Operating,Great Coasters International,,60 ft (18 m),lift,,"Jeff PikeSkyline Design, LLC",,Wood,2017-04-07,48.0,,0
Kraken (roller coaster),"4,177 ft (1,273 m)",65 mph (105 km/h),Operating,Bolliger & Mabillard,Custom,153 ft (47 m),lift,3.9,Werner Stengel,,Steel,2000-06-01,65.0,,7
Lech Coaster,"908 m (2,979 ft)",95 km/h (59 mph),Operating,Vekoma,Bermuda Blitz,40 m (131 ft),lift,,,,Steel,2017-07-01,59.0,131.2,3
Mine Blower,"2,290 ft (700 m)",48.5 mph (78.1 km/h),Operating,The Gravity Group,,83 ft (25 m),lift,,,,Wood,2017-06-23,48.5,,1
Mystic Timbers,"3,265 ft (995 m)",53 mph (85 km/h),Operating,Great Coasters International,,109 ft (33 m),lift,,Skyline Design,,Wood,2017-04-15,53.0,,0
Patriot (California's Great America),"1,920 ft (590 m)",45 mph (72 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,91 ft (28 m),lift,,Werner Stengel,,Steel,1991-03-09,45.0,,2
Red Force (roller coaster),"880 m (2,890 ft)",180 km/h (112 mph),Operating,Intamin,,112 m (367 ft),launch,,,,Steel,2017-04-07,111.8,367.5,0
Star Trek: Operation Enterprise,"720 m (2,360 ft)",90 km/h (56 mph),Operating,Mack Rides,,40 m (130 ft),launch,,,,Steel,2017-06-14,55.9,131.2,3
Star Wars Hyperspace Mountain,"3,281 ft (1,000 m)",44 mph (71 km/h),Operating,Vekoma,,105 ft (32 m),launch,,Walt Disney ImagineeringWerner Stengel,,Steel,2017-05-07,44.0,,3
Adrenaline Peak,"1,050 ft (320 m)",45 mph (72 km/h),Operating,Gerstlauer,320,72 ft (22 m),lift,,,,Steel,2018-03-24,45.0,,3
Electric Eel (roller coaster),863 ft (263 m),62 mph (100 km/h),Operating,Premier Rides,Sky Rocket II,150 ft (46 m),launch,,,,Steel,2018-05-10,62.0,,1
HangTime (roller coaster),"2,198 ft (670 m)",57 mph (92 km/h),Operating,Gerstlauer,Infinity Coaster,150 ft (46 m),lift,,,Custom - Infinity Coaster,Steel,2018-05-18,57.0,,5
Hyperion (roller coaster),"1,450 m (4,760 ft)",142 km/h (88 mph),Operating,Intamin,Mega coaster,77 m (253 ft),lift,4.8[2],,,Steel,2018-07-14,88.2,252.6,1
Icon (roller coaster),"3,750 ft (1,140 m)",52.8 mph (85.0 km/h),Operating,Mack Rides,Launch Coaster (Custom),88.5 ft (27.0 m),launch,4.3,Mack Rides GmbH & Co. KG,,Steel,2018-05-25,52.8,,1
Merlin's Mayhem,"1,300 ft (400 m)",,Operating,S&S – Sansei Technologies,Family Inverted Coaster,60 ft (18 m),lift,,Joe Draves,Twister,Steel,2018-04-28,,,0
RailBlazer,"1,800 ft (550 m)",52 mph (84 km/h),Operating,Rocky Mountain Construction,Raptor - Prototype (Mirror),106 ft (32 m),lift,,Alan Schilke,,Steel,2018-06-14,52.0,,3
Steel Vengeance,"5,740 ft (1,750 m)",74 mph (119 km/h),Operating,Rocky Mountain Construction,I-Box Track,205 ft (62 m),lift,,Alan Schilke,Twister,Steel,2018-05-05,74.0,,4
Tantrum (roller coaster),"1,246.7 ft (380.0 m)",52.8 mph (85.0 km/h),Operating,Gerstlauer,Euro-Fighter,98.4 ft (30.0 m),lift,,,,Steel,2018-05-25,52.8,,3
Tiki-Waka (roller coaster),"1,850.4 ft (564.0 m)",34.2 mph (55.0 km/h),Operating,Gerstlauer,Bobsled Coaster,68.9 ft (21.0 m),lift,,,,Steel,2018-04-07,34.2,,0
